x,y
18.609865179,29.578176332
18.999068820,29.581087311
19.362861522,29.587751130
19.707499758,29.597347634
20.040756235,29.609513375
20.378869360,29.624749723
20.799702960,29.649753788
21.219468553,29.678671094
21.631381090,29.703155044
22.044809393,29.720951595
22.447315399,29.733217417
22.820517386,29.740590537
23.258372500,29.762878766
23.556897326,29.682450606
23.645146544,29.488447952
23.626333640,29.195882122
23.508638987,28.809285679
23.380997490,28.527292222
23.214351006,28.221500036
23.020178577,27.886056452
22.815637703,27.531949527
22.618004099,27.170601836
22.442685765,26.811105038
22.287448291,26.441672104
22.140275812,26.052573508
22.000098565,25.656366964
21.867145809,25.268060728
21.741586334,24.902352597
21.620323334,24.561041898
21.476910496,24.148190383
21.351663107,23.775273636
21.224852161,23.447826814
21.065869973,23.152399179
20.820583369,22.839667175
20.535079255,22.587585029
20.214535655,22.392188628
19.858091409,22.255162371
19.467355735,22.170848383
19.055309037,22.115301242
18.704468937,22.086624599
18.342832722,22.075560698
17.970871768,22.073269103
17.598027489,22.071805581
17.227955438,22.070453547
16.855797371,22.072201616
16.476946494,22.075356701
16.087385103,22.077854927
15.687556759,22.079347793
15.278624715,22.080687442
14.858016718,22.081817098
14.430545718,22.082574448
14.060473250,22.082870433
13.687046307,22.082901981
13.305983505,22.082748610
12.920488530,22.082474259
12.533461187,22.082146251
12.143075174,22.081856159
11.747587236,22.081564337
11.350037077,22.081117059
10.953986348,22.080348968
10.562747210,22.079089706
10.177032310,22.077149735
9.794867769,22.074629635
9.415040033,22.071847785
9.036448624,22.069142864
8.658178931,22.066808644
8.280951708,22.064723875
7.905317676,22.062712347
7.530075795,22.060975242
7.153836614,22.059755842
6.775355604,22.059290949
6.394791485,22.059725416
6.012888563,22.060918701
5.629388791,22.062626829
5.243920526,22.064597897
4.856202001,22.066616139
4.466763728,22.068795277
4.075777271,22.071264887
3.682356189,22.073835903
3.285492185,22.076284453
2.883903887,22.078408501
2.474203000,22.080220714
2.057133957,22.081841841
1.638377343,22.083251922
1.224108178,22.084414625
0.819937152,22.085299221
0.425978673,22.085929383
0.038882307,22.086323609
-0.341578102,22.086442459
-0.715478873,22.086239605
-1.090594086,22.085650980
-1.532347035,22.084477730
-1.972622772,22.082784949
-2.400149786,22.080519579
-2.811300201,22.077592258
-3.203299870,22.073757240
-3.578494411,22.069150880
-3.942082173,22.064324956
-4.298716059,22.059799401
-4.645832695,22.055423939
-4.982965581,22.051087565
-5.318298721,22.047374673
-5.660623079,22.044844818
-6.014934734,22.043163410
-6.376102433,22.042285276
-6.736180673,22.043267133
-7.097137382,22.047536953
-7.538203085,22.058362559
-7.976796193,22.073822341
-8.401827032,22.091901413
-8.814148190,22.117982295
-9.211850897,22.143944867
-9.589933524,22.148248625
-9.954786922,22.136344112
-10.296024817,22.094749696
-10.584050896,21.974111063
-10.823385081,21.773049286
-10.999776736,21.480932748
-11.059236213,21.060210844
-11.032270928,20.727803320
-10.967304252,20.353775461
-10.870416833,19.939608387
-10.742863388,19.504839340
-10.585797080,19.069611239
-10.401466532,18.656279209
-10.199066708,18.299078517
-9.955956066,17.941023300
-9.685373218,17.580799553
-9.404857215,17.224156258
-9.132069752,16.877047207
-8.884446555,16.545112664
-8.671628001,16.223303904
-8.441677958,15.825609487
-8.240241307,15.439549704
-8.079251982,15.082038477
-7.966049177,14.760128415
-7.911881378,14.469850657
-7.962958147,14.129932734
-8.142147678,13.875298997
-8.381303014,13.683317204
-8.648477206,13.542832537
-8.969310687,13.459650031
-9.350488651,13.421246791
-9.701039278,13.422735673
-10.082750199,13.452997219
-10.511199854,13.498991994
-10.980039027,13.547490422
-11.365339026,13.587239568
-11.776878447,13.633654091
-12.211781389,13.683088228
-12.652357972,13.729524729
-13.080756326,13.766917023
-13.488536417,13.790601332
-13.942218372,13.807792646
-14.396320447,13.818596488
-14.825176343,13.812350061
-15.206765829,13.777027528
-15.530722286,13.692439322
-15.870852339,13.475675532
-16.080904230,13.166431732
-16.185929888,12.807591159
-16.197718860,12.482303321
-16.142514351,12.127914313
-16.050793139,11.758572459
-15.950699632,11.396357506
-15.845270506,11.044427173
-15.723695080,10.693869744
-15.590783677,10.346710574
-15.452668237,10.005841209
-15.310432649,9.670145666
-15.161522128,9.339117003
-15.005838088,9.016465841
-14.838370862,8.698073781
-14.614501284,8.317329842
-14.375319043,7.947508577
-14.135423983,7.592048937
-13.902494891,7.246088104
-13.668481010,6.915403815
-13.418801314,6.611197711
-13.148064427,6.334215042
-12.860110773,6.086378298
-12.555319329,5.881304468
-12.234326866,5.730229619
-11.896226626,5.620916448
-11.538708365,5.530818803
-11.162549180,5.455839322
-10.766310314,5.395906177
-10.353805876,5.336493216
-10.006945293,5.282051080
-9.653558841,5.226171403
-9.286187610,5.172414031
-8.905907851,5.125207059
-8.512529530,5.085540627
-8.105684870,5.051481230
-7.686623066,5.022579307
-7.264086274,4.998987919
-6.901809268,4.983967549
-6.538117336,4.973613750
-6.168170905,4.965842102
-5.794663346,4.958845039
-5.420223761,4.951009907
-5.044781591,4.942475370
-4.666766101,4.934205485
-4.286279195,4.925978051
-3.903618168,4.917433144
-3.518974080,4.908242921
-3.131579843,4.898419202
-2.741316607,4.888157876
-2.349467455,4.877441173
-1.957460969,4.866225244
-1.566581917,4.854438255
-1.176726646,4.841788732
-0.787127154,4.828317786
-0.397949051,4.814513839
-0.009460327,4.800911218
0.378310995,4.788018655
0.767373120,4.776060302
1.157755176,4.764733690
1.546095197,4.753660402
1.928905734,4.742450263
2.310613212,4.730442271
2.755470382,4.714985509
3.197317555,4.698589261
3.629191790,4.682447258
4.051235735,4.667473942
4.457693433,4.653786385
4.850922608,4.641027475
5.244943188,4.629306050
5.654175827,4.618755770
